batch,response_id,slot,original_filename,local_path,sha256,bytes,mime,bucket,storage_path,status,public_url,notes
1,6xyeozds0zbgwgzu6xyeozfc0e09goq9,portrait,6DEDB5E5_6CE6_479C_955D_E5335A7FD922.jpeg,6xyeozds0zbgwgzu6xyeozfc0e09goq9/1eda568f871c-6DEDB5E5_6CE6_479C_955D_E5335A7FD922.jpeg,fbc27c49bd70839d54c42bf93273bd3c4558b7be8b0b92ad4214752bfc266851,1632204,image/jpeg,photos,typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/portrait.jpeg,
1,6xyeozds0zbgwgzu6xyeozfc0e09goq9,front,92A5F9E6_01E4_4AAC_B1B1_5D264A39DC97.jpeg,6xyeozds0zbgwgzu6xyeozfc0e09goq9/37aaec772cba-92A5F9E6_01E4_4AAC_B1B1_5D264A39DC97.jpeg,f261495309cb075f25392f8e6cfc4536c0ef529857b4c0065a696b2e8c2c2902,614087,image/jpeg,photos,typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/front.jpeg,
1,6xyeozds0zbgwgzu6xyeozfc0e09goq9,cv,9B00DA6E_3040_426F_A618_4E70E69FE7DD.jpeg,6xyeozds0zbgwgzu6xyeozfc0e09goq9/6ac61e11b739-9B00DA6E_3040_426F_A618_4E70E69FE7DD.jpeg,c505b019cb81b48392904e9c734573ff2fbc364f52a30dce312ac639b6e8f127,218691,image/jpeg,photos,typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/cv.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/6xyeozds0zbgwgzu6xyeozfc0e09goq9/cv.jpeg,"non-document in CV slot, routed to photos bucket"
1,89b0suswscq38hwhma8zy89b0susl729,cv,Player_Profile.docx,89b0suswscq38hwhma8zy89b0susl729/0eeeda4035f6-Player_Profile.docx,942a66cf2b308884c9db177e4453f86e74cd9645da51eaa35ec4ae7a6aa5fda2,11584,application/vnd.openxmlformats-officedocument.wordprocessingml.document,cvs,typeform-2024/89b0suswscq38hwhma8zy89b0susl729/cv.docx,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/89b0suswscq38hwhma8zy89b0susl729/cv.docx,
1,89b0suswscq38hwhma8zy89b0susl729,rear,050b0af3_8ed5_436e_9600_9622f64a3d62_Original.jpeg,89b0suswscq38hwhma8zy89b0susl729/424c3e33ba20-050b0af3_8ed5_436e_9600_9622f64a3d62_Original.jpeg,7676e34ccd22c9538cf52ed3c4d4adc49a039fec8a0c992a28af2780ca8ad2b2,133277,image/jpeg,photos,typeform-2024/89b0suswscq38hwhma8zy89b0susl729/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/89b0suswscq38hwhma8zy89b0susl729/rear.jpeg,
1,89b0suswscq38hwhma8zy89b0susl729,front,IMG_2575_Original.jpeg,89b0suswscq38hwhma8zy89b0susl729/9fa38006d61f-IMG_2575_Original.jpeg,c432332409bc133f76b89c9112c6fa49ff88215dae1c888308200b2950e6af7b,555527,image/jpeg,photos,typeform-2024/89b0suswscq38hwhma8zy89b0susl729/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/89b0suswscq38hwhma8zy89b0susl729/front.jpeg,
1,89b0suswscq38hwhma8zy89b0susl729,portrait,IMG_20190609_WA0039_Original.jpeg,89b0suswscq38hwhma8zy89b0susl729/b4896ebee45d-IMG_20190609_WA0039_Original.jpeg,95c2d4efb7878989a1738256dd60437e4005bc8a9da2f0752180be633c6c39c3,108187,image/jpeg,photos,typeform-2024/89b0suswscq38hwhma8zy89b0susl729/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/89b0suswscq38hwhma8zy89b0susl729/portrait.jpeg,
1,8gagtpkhgg0qdu4bjewe08gagtp3lrds,cv,IMG_0129.jpg,8gagtpkhgg0qdu4bjewe08gagtp3lrds/605213b5630c-IMG_0129.jpg,017cf92c21414a511fcf8f3947f41ca8b42865aaa9554508e24cbcb5cc2b32e8,1910401,image/jpeg,photos,typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/cv.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/cv.jpg,"non-document in CV slot, routed to photos bucket"
1,8gagtpkhgg0qdu4bjewe08gagtp3lrds,front,Emmanuel_Owusu_Portrait_.pdf,8gagtpkhgg0qdu4bjewe08gagtp3lrds/b50f80f6e0b4-Emmanuel_Owusu_Portrait_front.pdf,6b992af5d17c1420220284bb13949c5d186a089fc7844e740bb069c07854b2b1,4356379,application/pdf,cvs,typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/front.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/front.pdf,"slot front read from the name, agrees with the export; 2 identical copies dropped, one uploaded"
1,8gagtpkhgg0qdu4bjewe08gagtp3lrds,rear,Emmanuel_Owusu_Portrait_.pdf,8gagtpkhgg0qdu4bjewe08gagtp3lrds/c69c581f2889-Emmanuel_Owusu_Portrait_.pdf,6b992af5d17c1420220284bb13949c5d186a089fc7844e740bb069c07854b2b1,4356379,application/pdf,cvs,typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/rear.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/rear.pdf,"one file filling 2 slots: front, rear (--relaxed)"
